Year,Player,Runs
1971,G Boycott (ENG),8
1971,GS Chappell (AUS),22
1971,IM Chappell (AUS),60
1971,MC Cowdrey (ENG),1
1971,BL D'Oliveira (ENG),17
1971,JH Edrich (ENG),82
1971,KWR Fletcher (ENG),24
1971,JH Hampshire (ENG),10
1971,R Illingworth (ENG),1
1971,APE Knott (ENG),24
1971,WM Lawry (AUS),27
1971,P Lever (ENG),4
1971,RW Marsh (AUS),10
1971,IR Redpath (AUS),12
1971,K Shuttleworth (ENG),7
1971,JA Snow (ENG),2
1971,KR Stackpole (AUS),13
1971,KD Walters (AUS),41
1972,DL Amiss (ENG),168
1972,GG Arnold (ENG),11
1972,G Boycott (ENG),74
1972,GS Chappell (AUS),101
1972,IM Chappell (AUS),87
1972,DB Close (ENG),49
1972,BL D'Oliveira (ENG),13
1972,R Edwards (AUS),69
1972,KWR Fletcher (ENG),114
1972,AW Greig (ENG),55
1972,JR Hammond (AUS),15
1972,JH Hampshire (ENG),38
1972,APE Knott (ENG),56
1972,DK Lillee (AUS),13
1972,AA Mallett (AUS),14
1972,RW Marsh (AUS),17
1972,RAL Massie (AUS),16
1972,AP Sheahan (AUS),75
1972,JA Snow (ENG),5
1972,KR Stackpole (AUS),150
1972,KD Walters (AUS),17
1972,GD Watson (AUS),11
1972,B Wood (ENG),19
1972,RA Woolmer (ENG),9
1973,DL Amiss (ENG),134
1973,GG Arnold (ENG),17
1973,Asif Iqbal (PAK),3
1973,Asif Masood (PAK),4
1973,KD Boyce (WI),7
1973,G Boycott (ENG),35
1973,MG Burgess (NZ),48
1973,RO Collinge (NZ),13
1973,PG Coman (NZ),24
1973,BE Congdon (NZ),5
1973,MH Denness (ENG),66
1973,KWR Fletcher (ENG),106
1973,MLC Foster (WI),25
1973,RC Fredericks (WI),109
1973,LR Gibbs (WI),0
1973,AW Greig (ENG),79
1973,DR Hadlee (NZ),0
1973,RJ Hadlee (NZ),49
1973,BF Hastings (NZ),4
1973,FC Hayes (ENG),38
1973,RGA Headley (WI),19
1973,M Hendrick (ENG),1
1973,VA Holder (WI),10
1973,HJ Howarth (NZ),6
1973,R Illingworth (ENG),4
1973,Intikhab Alam (PAK),10
1973,JA Jameson (ENG),28
1973,BD Julien (WI),0
1973,AI Kallicharran (WI),79
1973,RB Kanhai (WI),55
1973,APE Knott (ENG),12
1973,CH Lloyd (WI),31
1973,D Lloyd (ENG),8
1973,Majid Khan (PAK),8
1973,DA Murray (WI),1
1973,DL Murray (WI),11
1973,Mushtaq Mohammad (PAK),27
1973,Nasim-ul-Ghani (PAK),1
1973,CM Old (ENG),25
1973,V Pollard (NZ),55
1973,RE Redmond (NZ),3
1973,GRJ Roope (ENG),44
1973,Sadiq Mohammad (PAK),37
1973,Saleem Altaf (PAK),21
1973,Sarfraz Nawaz (PAK),17
1973,MJ Smith (ENG),50
1973,GS Sobers (WI),0
1973,BR Taylor (NZ),22
1973,RW Taylor (ENG),11
1973,GM Turner (NZ),36
1973,DL Underwood (ENG),2
1973,GE Vivian (NZ),14
1973,KJ Wadsworth (NZ),33
1973,Wasim Bari (PAK),21
1973,Wasim Raja (PAK),4
1973,RGD Willis (ENG),9
1974,S Abid Ali (INDIA),23
1974,DL Amiss (ENG),20
1974,GG Arnold (ENG),2
1974,Asif Iqbal (PAK),24
1974,BS Bedi (INDIA),0
1974,GK Bose (INDIA),13
1974,MG Burgess (NZ),6
1974,BL Cairns (NZ),30
1974,GS Chappell (AUS),117
1974,IM Chappell (AUS),169
1974,PG Coman (NZ),38
1974,BE Congdon (NZ),131
1974,IC Davis (AUS),11
1974,MH Denness (ENG),73
1974,JH Edrich (ENG),133
1974,FM Engineer (INDIA),36
1974,KWR Fletcher (ENG),96
1974,SM Gavaskar (INDIA),48
1974,AW Greig (ENG),72
1974,DR Hadlee (NZ),12
1974,RJ Hadlee (NZ),3
1974,BF Hastings (NZ),34
1974,APE Knott (ENG),15
1974,P Lever (ENG),8
1974,D Lloyd (ENG),193
1974,S Madan Lal (INDIA),5
1974,Majid Khan (PAK),109
1974,AV Mankad (INDIA),44
1974,RW Marsh (AUS),1
1974,Mushtaq Mohammad (PAK),25
1974,SS Naik (INDIA),38
1974,CM Old (ENG),44
1974,DR O'Sullivan (NZ),1
1974,JM Parker (NZ),14
1974,BP Patel (INDIA),94
1974,V Pollard (NZ),12
1974,IR Redpath (AUS),8
1974,Sadiq Mohammad (PAK),53
1974,MJ Smith (ENG),20
1974,ED Solkar (INDIA),3
1974,KR Stackpole (AUS),61
1974,RW Taylor (ENG),26
1974,GM Turner (NZ),11
1974,DL Underwood (ENG),17
1974,S Venkataraghavan (INDIA),1
1974,GR Viswanath (INDIA),36
1974,AL Wadekar (INDIA),73
1974,KJ Wadsworth (NZ),111
1974,KD Walters (AUS),19
1974,AJ Woodcock (AUS),53
1974,Zaheer Abbas (PAK),88
1975,S Abid Ali (INDIA),70
1975,M Amarnath (INDIA),1
1975,DL Amiss (ENG),293
1975,GG Arnold (ENG),18
1975,Asif Iqbal (PAK),53
1975,Asif Masood (PAK),6
1975,BS Bedi (INDIA),6
1975,KD Boyce (WI),50
1975,BL Cairns (NZ),10
1975,GS Chappell (AUS),232
1975,IM Chappell (AUS),226
1975,RO Collinge (NZ),8
1975,BE Congdon (NZ),101
1975,GJ Cosier (AUS),25
1975,MH Denness (ENG),125
1975,DS de Silva (SL),47
1975,GRA de Silva (SL),0
1975,JH Edrich (ENG),8
1975,R Edwards (AUS),186
1975,WJ Edwards (AUS),2
1975,FM Engineer (INDIA),78
1975,ER Fernando (SL),47
1975,KWR Fletcher (ENG),267
1975,Frasat Ali (EAf),57
1975,RC Fredericks (WI),137
1975,AD Gaekwad (INDIA),59
1975,SM Gavaskar (INDIA),113
1975,GJ Gilmour (AUS),42
1975,CG Greenidge (WI),129
1975,AW Greig (ENG),32
1975,BG Hadlee (NZ),26
1975,DR Hadlee (NZ),28
1975,RJ Hadlee (NZ),27
1975,Harilal Shah (EAf),6
1975,BF Hastings (NZ),113
1975,FC Hayes (ENG),90
1975,M Hendrick (ENG),1
1975,PD Heyn (SL),3
1975,VA Holder (WI),22
1975,GP Howarth (NZ),93
1975,HJ Howarth (NZ),12
1975,AG Hurst (AUS),1
1975,Imran Khan (PAK),9
1975,JA Jameson (ENG),32
1975,Javed Miandad (PAK),52
1975,Jawahir Shah (EAf),46
1975,TJ Jenner (AUS),12
1975,BD Julien (WI),57
1975,AI Kallicharran (WI),234
1975,LWS Kaluperuma (SL),19
1975,RB Kanhai (WI),109
1975,APE Knott (ENG),20
1975,P Lever (ENG),5
1975,DK Lillee (AUS),19
1975,CH Lloyd (WI),159
1975,D Lloyd (ENG),49
1975,BW Luckhurst (ENG),15
1975,RB McCosker (AUS),120
1975,BJ McKechnie (NZ),28
1975,H McLeod (EAf),5
1975,S Madan Lal (INDIA),20
1975,Majid Khan (PAK),209
1975,AA Mallett (AUS),0
1975,RW Marsh (AUS),92
1975,Mehmood Quaraishy (EAf),41
1975,PS Mehta (EAf),12
1975,LRD Mendis (SL),40
1975,JFM Morrison (NZ),96
1975,DL Murray (WI),113
1975,Mushtaq Mohammad (PAK),89
1975,PG Nana (EAf),9
1975,Naseer Malik (PAK),0
1975,CM Old (ENG),128
1975,ARM Opatha (SL),11
1975,JM Parker (NZ),96
1975,BP Patel (INDIA),25
1975,Pervez Mir (PAK),8
1975,HSM Pieris (SL),19
1975,DJ Pringle (EAf),5
1975,AN Ranasinghe (SL),23
1975,IR Redpath (AUS),26
1975,IVA Richards (WI),112
1975,AME Roberts (WI),27
1975,LG Rowe (WI),5
1975,Sadiq Mohammad (PAK),85
1975,Sarfraz Nawaz (PAK),0
1975,RK Sethi (EAf),54
1975,JA Snow (ENG),2
1975,ED Solkar (INDIA),21
1975,S Sumar (EAf),4
1975,RW Taylor (ENG),23
1975,APB Tennekoon (SL),78
1975,JR Thomson (AUS),55
1975,MH Tissera (SL),78
1975,FJ Titmus (ENG),11
1975,A Turner (AUS),247
1975,GM Turner (NZ),359
1975,DL Underwood (ENG),3
1975,S Venkataraghavan (INDIA),26
1975,GR Viswanath (INDIA),39
1975,KJ Wadsworth (NZ),68
1975,MHN Walker (AUS),56
1975,KD Walters (AUS),141
1975,S Walusimbi (EAf),38
1975,B Warnapura (SL),41
1975,Wasim Bari (PAK),3
1975,Wasim Raja (PAK),91
1975,SRD Wettimuny (SL),53
1975,B Wood (ENG),130
1975,Yunus Badat (EAf),1
1975,Zaheer Abbas (PAK),136
1975,Zulfiqar Ali (EAf),39
1976,M Amarnath (INDIA),29
1976,DL Amiss (ENG),93
1976,RW Anderson (NZ),4
1976,Asif Masood (PAK),0
1976,GD Barlow (ENG),80
1976,BS Bedi (INDIA),4
1976,IT Botham (ENG),21
1976,MG Burgess (NZ),38
1976,BL Cairns (NZ),55
1976,BS Chandrasekhar (INDIA),11
1976,RO Collinge (NZ),5
1976,BE Congdon (NZ),47
1976,GN Edwards (NZ),73
1976,RC Fredericks (WI),21
1976,AD Gaekwad (INDIA),16
1976,GA Gooch (ENG),40
1976,CG Greenidge (WI),98
1976,AW Greig (ENG),5
1976,RJ Hadlee (NZ),0
1976,M Hendrick (ENG),1
1976,VA Holder (WI),2
1976,MA Holding (WI),19
1976,GP Howarth (NZ),43
1976,Imran Khan (PAK),4
1976,Intikhab Alam (PAK),7
1976,RD Jackman (ENG),14
1976,Javed Miandad (PAK),47
1976,BD Julien (WI),9
1976,CL King (WI),22
1976,SMH Kirmani (INDIA),8
1976,APE Knott (ENG),48
1976,P Krishnamurthy (INDIA),6
1976,JK Lever (ENG),1
1976,CH Lloyd (WI),126
1976,BJ McKechnie (NZ),8
1976,S Madan Lal (INDIA),21
1976,Majid Khan (PAK),20
1976,JFM Morrison (NZ),15
1976,DL Murray (WI),28
1976,Mushtaq Mohammad (PAK),46
1976,DR O'Sullivan (NZ),1
1976,JM Parker (NZ),16
1976,NM Parker (NZ),0
1976,BP Patel (INDIA),61
1976,DW Randall (ENG),127
1976,IVA Richards (WI),216
1976,ADG Roberts (NZ),16
1976,AME Roberts (WI),7
1976,LG Rowe (WI),59
1976,Sadiq Mohammad (PAK),17
1976,Sarfraz Nawaz (PAK),0
1976,PH Sharma (INDIA),20
1976,ED Solkar (INDIA),3
1976,DS Steele (ENG),8
1976,R Sudhakar Rao (INDIA),4
1976,GM Turner (NZ),182
1976,DL Underwood (ENG),22
1976,DB Vengsarkar (INDIA),59
1976,S Venkataraghavan (INDIA),1
1976,GR Viswanath (INDIA),56
1976,KJ Wadsworth (NZ),46
1976,Wasim Bari (PAK),2
1976,Wasim Raja (PAK),8
1976,B Wood (ENG),38
1976,RA Woolmer (ENG),12
1976,Zaheer Abbas (PAK),23
1977,DL Amiss (ENG),151
1977,Asif Iqbal (PAK),59
1977,GD Barlow (ENG),69
1977,IT Botham (ENG),32
1977,JM Brearley (ENG),147
1977,RJ Bright (AUS),17
1977,GS Chappell (AUS),174
1977,GJ Cosier (AUS),3
1977,IC Davis (AUS),1
1977,G Dymock (AUS),2
1977,PH Edmonds (ENG),5
1977,RC Fredericks (WI),44
1977,MW Gatting (ENG),22
1977,CG Greenidge (WI),8
1977,AW Greig (ENG),26
1977,Haroon Rasheed (PAK),5
1977,Hasan Jamil (PAK),48
1977,DW Hookes (AUS),14
1977,KJ Hughes (AUS),5
1977,Imran Khan (PAK),39
1977,Iqbal Qasim (PAK),0
1977,Javed Miandad (PAK),100
1977,BD Julien (WI),20
1977,AI Kallicharran (WI),24
1977,CL King (WI),0
1977,APE Knott (ENG),25
1977,JK Lever (ENG),30
1977,CH Lloyd (WI),45
1977,RB McCosker (AUS),12
1977,Majid Khan (PAK),23
1977,MF Malone (AUS),5
1977,RW Marsh (AUS),43
1977,G Miller (ENG),20
1977,Mohsin Khan (PAK),15
1977,Mudassar Nazar (PAK),53
1977,DL Murray (WI),11
1977,KJ O'Keeffe (AUS),16
1977,CM Old (ENG),81
1977,LS Pascoe (AUS),4
1977,Pervez Mir (PAK),18
1977,DW Randall (ENG),111
1977,IVA Richards (WI),20
1977,RD Robinson (AUS),82
1977,GRJ Roope (ENG),36
1977,BC Rose (ENG),99
1977,Sadiq Mohammad (PAK),21
1977,Saleem Altaf (PAK),4
1977,Sarfraz Nawaz (PAK),2
1977,CS Serjeant (AUS),48
1977,Shafiq Ahmed (PAK),38
1977,Sikander Bakht (PAK),0
1977,JR Thomson (AUS),6
1977,DL Underwood (ENG),5
1977,MHN Walker (AUS),5
1977,KD Walters (AUS),12
1977,Wasim Bari (PAK),2
1977,Wasim Raja (PAK),79
1977,P Willey (ENG),7
1977,RGD Willis (ENG),7
1977,Zaheer Abbas (PAK),10
1978,M Amarnath (INDIA),85
1978,S Amarnath (INDIA),100
1978,RW Anderson (NZ),12
1978,Arshad Pervez (PAK),11
1978,Asif Iqbal (PAK),62
1978,RA Austin (WI),8
1978,Azmat Rana (PAK),42
1978,SFAF Bacchus (WI),0
1978,BS Bedi (INDIA),2
1978,IT Botham (ENG),80
1978,G Boycott (ENG),9
1978,BP Bracewell (NZ),0
1978,JM Brearley (ENG),59
1978,MG Burgess (NZ),1
1978,BL Cairns (NZ),83
1978,IW Callen (AUS),6
1978,CPS Chauhan (INDIA),25
1978,ST Clarke (WI),0
1978,RO Collinge (NZ),8
1978,BE Congdon (NZ),54
1978,GA Cope (ENG),1
1978,GJ Cosier (AUS),84
1978,CEH Croft (WI),5
1978,WW Daniel (WI),14
1978,WM Darling (AUS),29
1978,BA Edgar (NZ),31
1978,PH Edmonds (ENG),4
1978,GN Edwards (NZ),12
1978,AD Gaekwad (INDIA),94
1978,J Garner (WI),13
1978,MW Gatting (ENG),3
1978,SM Gavaskar (INDIA),4
1978,KD Ghavri (INDIA),6
1978,HA Gomes (WI),7
1978,GA Gooch (ENG),94
1978,DI Gower (ENG),201
1978,AE Greenidge (WI),23
1978,RJ Hadlee (NZ),2
1978,Haroon Rasheed (PAK),21
1978,Hasan Jamil (PAK),63
1978,DL Haynes (WI),148
1978,M Hendrick (ENG),2
1978,VA Holder (WI),30
1978,GP Howarth (NZ),54
1978,Imran Khan (PAK),12
1978,Iqbal Qasim (PAK),9
1978,Javed Miandad (PAK),57
1978,AI Kallicharran (WI),41
1978,N Kapil Dev (INDIA),18
1978,SMH Kirmani (INDIA),5
1978,TJ Laughlin (AUS),2
1978,JK Lever (ENG),5
1978,Liaqat Ali (PAK),7
1978,D Lloyd (ENG),34
1978,Majid Khan (PAK),87
1978,G Miller (ENG),2
1978,Mohsin Khan (PAK),69
1978,Mudassar Nazar (PAK),104
1978,DA Murray (WI),2
1978,DL Murray (WI),51
1978,Mushtaq Mohammad (PAK),22
1978,Naeem Ahmed (PAK),0
1978,CM Old (ENG),35
1978,JM Parker (NZ),7
1978,DR Parry (WI),5
1978,N Phillip (WI),0
1978,CT Radley (ENG),250
1978,DW Randall (ENG),73
1978,IVA Richards (WI),9
1978,SJ Rixon (AUS),20
1978,AME Roberts (WI),3
1978,GRJ Roope (ENG),93
1978,Sadiq Mohammad (PAK),13
1978,Sarfraz Nawaz (PAK),34
1978,CS Serjeant (AUS),25
1978,Shafiq Ahmed (PAK),3
1978,IT Shillingford (WI),30
1978,S Shivnarine (WI),20
1978,Sikander Bakht (PAK),16
1978,RB Simpson (AUS),36
1978,RW Taylor (ENG),12
1978,JR Thomson (AUS),1
1978,PM Toohey (AUS),35
1978,DB Vengsarkar (INDIA),37
1978,S Venkataraghavan (INDIA),0
1978,GR Viswanath (INDIA),17
1978,Wasim Bari (PAK),31
1978,Wasim Raja (PAK),44
1978,B Wood (ENG),34
1978,GM Wood (AUS),33
1978,JG Wright (NZ),48
1978,GN Yallop (AUS),19
1978,B Yardley (AUS),7
1978,Yashpal Sharma (INDIA),11
1978,Zaheer Abbas (PAK),91
1979,M Amarnath (INDIA),16
1979,Asif Iqbal (PAK),129
1979,DL Bairstow (ENG),56
1979,S Baksh (CAN),0
1979,BS Bedi (INDIA),19
1979,AR Border (AUS),200
1979,IT Botham (ENG),145
1979,G Boycott (ENG),493
1979,JM Brearley (ENG),270
1979,RJ Bright (AUS),20
1979,MG Burgess (NZ),45
1979,BL Cairns (NZ),17
1979,RG Callender (CAN),0
1979,PH Carlson (AUS),11
1979,CJD Chappell (CAN),38
1979,GS Chappell (AUS),273
1979,IM Chappell (AUS),123
1979,EJ Chatfield (NZ),3
1979,JV Coney (NZ),47
1979,GJ Cosier (AUS),42
1979,CEH Croft (WI),3
1979,WM Darling (AUS),99
1979,FA Dennis (CAN),47
1979,DLS de Silva (SL),10
1979,DS de Silva (SL),7
1979,GRA de Silva (SL),2
1979,RL Dias (SL),75
1979,GR Dilley (ENG),1
1979,G Dymock (AUS),15
1979,BA Edgar (NZ),113
1979,PH Edmonds (ENG),22
1979,AD Gaekwad (INDIA),54
1979,J Garner (WI),25
1979,SM Gavaskar (INDIA),89
1979,KD Ghavri (INDIA),35
1979,GA Gooch (ENG),316
1979,DI Gower (ENG),302
1979,CG Greenidge (WI),429
1979,RJ Hadlee (NZ),57
1979,Haroon Rasheed (PAK),69
1979,DL Haynes (WI),298
1979,M Hendrick (ENG),1
1979,CC Henry (CAN),6
1979,AMJ Hilditch (AUS),153
1979,RM Hogg (AUS),8
1979,MA Holding (WI),2
1979,DW Hookes (AUS),9
1979,GP Howarth (NZ),70
1979,KJ Hughes (AUS),222
1979,AG Hurst (AUS),6
1979,Imran Khan (PAK),42
1979,Javed Miandad (PAK),46
1979,SA Jayasinghe (SL),1
1979,AI Kallicharran (WI),182
1979,N Kapil Dev (INDIA),53
1979,SC Khanna (INDIA),17
1979,CL King (WI),170
1979,BM Laird (AUS),41
1979,W Larkins (ENG),7
1979,TJ Laughlin (AUS),103
1979,WK Lees (NZ),28
1979,JK Lever (ENG),1
1979,DK Lillee (AUS),60
1979,CH Lloyd (WI),143
1979,RB McCosker (AUS),1
1979,BJ McKechnie (NZ),17
1979,JA Maclean (AUS),11
1979,RS Madugalle (SL),4
1979,Majid Khan (PAK),150
1979,RW Marsh (AUS),100
1979,CA Marshall (CAN),10
1979,BM Mauricette (CAN),20
1979,LRD Mendis (SL),78
1979,G Miller (ENG),4
1979,JFM Morrison (NZ),11
1979,JK Moss (AUS),7
1979,Mudassar Nazar (PAK),3
1979,DL Murray (WI),64
1979,CM Old (ENG),18
1979,ARM Opatha (SL),18
1979,DR Parry (WI),4
1979,SP Pasqual (SL),24
1979,BP Patel (INDIA),63
1979,JM Patel (CAN),3
1979,GD Porter (AUS),3
1979,DW Randall (ENG),200
1979,IVA Richards (WI),526
1979,AME Roberts (WI),48
1979,LG Rowe (WI),65
1979,Sadiq Mohammad (PAK),104
1979,Sarfraz Nawaz (PAK),12
1979,GR Sealy (CAN),73
1979,Sikander Bakht (PAK),3
1979,MP Stead (CAN),10
1979,Tariq Javed (CAN),15
1979,RW Taylor (ENG),32
1979,APB Tennekoon (SL),59
1979,JR Thomson (AUS),0
1979,PM Toohey (AUS),70
1979,GB Troup (NZ),3
1979,GM Turner (NZ),176
1979,JN Valentine (CAN),3
1979,JCB Vaughan (CAN),30
1979,DB Vengsarkar (INDIA),44
1979,S Venkataraghavan (INDIA),23
1979,GR Viswanath (INDIA),106
1979,MHN Walker (AUS),9
1979,KD Walters (AUS),46
1979,B Warnapura (SL),38
1979,Wasim Bari (PAK),26
1979,Wasim Raja (PAK),39
1979,SRD Wettimuny (SL),83
1979,JM Wiener (AUS),57
1979,P Willey (ENG),244
1979,RGD Willis (ENG),27
1979,GM Wood (AUS),87
1979,JG Wright (NZ),166
1979,KJ Wright (AUS),29
1979,GN Yallop (AUS),125
1979,Zaheer Abbas (PAK),148
1980,CWJ Athey (ENG),83
1980,KBJ Azad (INDIA),34
1980,SFAF Bacchus (WI),157
1980,DL Bairstow (ENG),99
1980,RMH Binny (INDIA),49
1980,SL Boock (NZ),2
1980,AR Border (AUS),219
1980,IT Botham (ENG),156
1980,G Boycott (ENG),350
1980,JM Brearley (ENG),34
1980,RJ Bright (AUS),5
1980,MG Burgess (NZ),108
1980,AR Butcher (ENG),14
1980,RO Butcher (ENG),52
1980,BL Cairns (NZ),113
1980,GS Chappell (AUS),346
1980,IM Chappell (AUS),8
1980,TM Chappell (AUS),32
1980,EJ Chatfield (NZ),10
1980,CPS Chauhan (INDIA),89
1980,ST Clarke (WI),20
1980,JV Coney (NZ),173
1980,CEH Croft (WI),8
1980,GR Dilley (ENG),0
1980,DR Doshi (INDIA),2
1980,G Dymock (AUS),18
1980,J Dyson (AUS),218
1980,BA Edgar (NZ),154
1980,JE Emburey (ENG),26
1980,J Garner (WI),32
1980,MW Gatting (ENG),19
1980,SM Gavaskar (INDIA),44
1980,KD Ghavri (INDIA),44
1980,HA Gomes (WI),36
1980,GA Gooch (ENG),297
1980,DI Gower (ENG),76
1980,SF Graf (AUS),5
1980,CG Greenidge (WI),469
1980,RJ Hadlee (NZ),115
1980,DL Haynes (WI),171
1980,MA Holding (WI),13
1980,GP Howarth (NZ),127
1980,KJ Hughes (AUS),302
1980,Ijaz Faqih (PAK),0
1980,Imran Khan (PAK),2
1980,Iqbal Qasim (PAK),6
1980,RD Jackman (ENG),6
1980,Javed Miandad (PAK),47
1980,AI Kallicharran (WI),264
1980,N Kapil Dev (INDIA),112
1980,CL King (WI),88
1980,SMH Kirmani (INDIA),130
1980,BM Laird (AUS),51
1980,W Larkins (ENG),77
1980,GF Lawson (AUS),4
1980,WK Lees (NZ),77
1980,JK Lever (ENG),17
1980,DK Lillee (AUS),29
1980,CH Lloyd (WI),96
1980,D Lloyd (ENG),1
1980,RB McCosker (AUS),136
1980,PE McEwan (NZ),96
1980,Majid Khan (PAK),66
1980,Mansoor Akhtar (PAK),24
1980,VJ Marks (ENG),9
1980,RW Marsh (AUS),107
1980,MD Marshall (WI),18
1980,Mohammad Nazir (PAK),2
1980,Mudassar Nazar (PAK),7
1980,DA Murray (WI),35
1980,DL Murray (WI),16
1980,CM Old (ENG),6
1980,JM Parker (NZ),50
1980,DR Parry (WI),52
1980,LS Pascoe (AUS),5
1980,SM Patil (INDIA),125
1980,MR Pydanna (WI),2
1980,DW Randall (ENG),16
1980,Rashid Khan (PAK),4
1980,JF Reid (NZ),5
1980,IVA Richards (WI),328
1980,AME Roberts (WI),38
1980,LG Rowe (WI),7
1980,Sadiq Mohammad (PAK),53
1980,Saleem Pervez (PAK),18
1980,Sarfraz Nawaz (PAK),8
1980,IDS Smith (NZ),1
1980,MC Snedden (NZ),7
1980,TE Srinivasan (INDIA),6
1980,GB Stevenson (ENG),29
1980,Taslim Arif (PAK),28
1980,CJ Tavare (ENG),87
1980,JR Thomson (AUS),18
1980,GB Troup (NZ),17
1980,DB Vengsarkar (INDIA),54
1980,GR Viswanath (INDIA),77
1980,MHN Walker (AUS),5
1980,KD Walters (AUS),60
1980,Wasim Raja (PAK),46
1980,DF Whatmore (AUS),2
1980,JM Wiener (AUS),83
1980,P Willey (ENG),124
1980,GM Wood (AUS),24
1980,JG Wright (NZ),201
1980,GN Yallop (AUS),63
1980,Yashpal Sharma (INDIA),145
1980,B Yograj Singh (INDIA),0
1980,Zaheer Abbas (PAK),137
1981,TM Alderman (AUS),10
1981,Ashraf Ali (PAK),30
1981,KBJ Azad (INDIA),92
1981,SFAF Bacchus (WI),75
1981,DL Bairstow (ENG),21
1981,RMH Binny (INDIA),143
1981,AR Border (AUS),454
1981,IT Botham (ENG),159
1981,G Boycott (ENG),113
1981,RJ Bright (AUS),18
1981,MG Burgess (NZ),90
1981,RO Butcher (ENG),6
1981,BL Cairns (NZ),70
1981,GS Chappell (AUS),454
1981,TM Chappell (AUS),58
1981,EJ Chatfield (NZ),2
1981,CPS Chauhan (INDIA),39
1981,JV Coney (NZ),119
1981,G Cook (ENG),14
1981,CEH Croft (WI),2
1981,WM Darling (AUS),162
1981,GR Dilley (ENG),3
1981,DR Doshi (INDIA),7
1981,PJL Dujon (WI),0
1981,J Dyson (AUS),37
1981,BA Edgar (NZ),390
1981,GN Edwards (NZ),53
1981,JE Emburey (ENG),5
1981,KWR Fletcher (ENG),31
1981,J Garner (WI),6
1981,MW Gatting (ENG),278
1981,SM Gavaskar (INDIA),113
1981,KD Ghavri (INDIA),29
1981,HA Gomes (WI),56
1981,GA Gooch (ENG),158
1981,DI Gower (ENG),141
1981,SF Graf (AUS),19
1981,CG Greenidge (WI),148
1981,RJ Hadlee (NZ),144
1981,DL Haynes (WI),294
1981,M Hendrick (ENG),0
1981,RM Hogg (AUS),3
1981,MA Holding (WI),11
1981,GP Howarth (NZ),211
1981,KJ Hughes (AUS),340
1981,GW Humpage (ENG),11
1981,Ijaz Faqih (PAK),57
1981,Imran Khan (PAK),76
1981,RD Jackman (ENG),16
1981,Javed Miandad (PAK),194
1981,AI Kallicharran (WI),2
1981,N Kapil Dev (INDIA),102
1981,MF Kent (AUS),78
1981,SMH Kirmani (INDIA),44
1981,BM Laird (AUS),156
1981,GF Lawson (AUS),55
1981,DK Lillee (AUS),68
1981,CH Lloyd (WI),240
1981,JD Love (ENG),61
1981,PE McEwan (NZ),27
1981,BJ McKechnie (NZ),1
1981,S Madan Lal (INDIA),6
1981,Majid Khan (PAK),76
1981,Mansoor Akhtar (PAK),14
1981,RW Marsh (AUS),215
1981,MD Marshall (WI),45
1981,EH Mattis (WI),86
1981,Mohsin Khan (PAK),46
1981,Mudassar Nazar (PAK),200
1981,DA Murray (WI),7
1981,CM Old (ENG),1
1981,JM Parker (NZ),65
1981,LS Pascoe (AUS),3
1981,SM Patil (INDIA),113
1981,B Reddy (INDIA),11
1981,CJ Richards (ENG),0
1981,IVA Richards (WI),156
1981,Rizwan-uz-Zaman (PAK),14
1981,AME Roberts (WI),21
1981,GK Robertson (NZ),17
1981,Sarfraz Nawaz (PAK),39
1981,RJ Shastri (INDIA),19
1981,Sikander Bakht (PAK),3
1981,IDS Smith (NZ),64
1981,MC Snedden (NZ),25
1981,K Srikkanth (INDIA),17
1981,TE Srinivasan (INDIA),4
1981,GB Stevenson (ENG),14
1981,Tahir Naqqash (PAK),22
1981,JR Thomson (AUS),14
1981,GB Troup (NZ),14
1981,DB Vengsarkar (INDIA),342
1981,GR Viswanath (INDIA),99
1981,MHN Walker (AUS),4
1981,KD Walters (AUS),177
1981,Wasim Bari (PAK),4
1981,Wasim Raja (PAK),47
1981,DM Wellham (AUS),42
1981,P Willey (ENG),100
1981,RGD Willis (ENG),3
1981,GM Wood (AUS),658
1981,JG Wright (NZ),378
1981,GN Yallop (AUS),111
1981,B Yardley (AUS),28
1981,Yashpal Sharma (INDIA),124
1981,B Yograj Singh (INDIA),1
1981,Zaheer Abbas (PAK),229
1982,TM Alderman (AUS),2
1982,PJW Allott (ENG),5
1982,M Amarnath (INDIA),71
1982,J Arun Lal (INDIA),15
1982,Ashraf Ali (PAK),3
1982,SFAF Bacchus (WI),145
1982,RMH Binny (INDIA),41
1982,BR Blair (NZ),31
1982,AR Border (AUS),346
1982,IT Botham (ENG),188
1982,BL Cairns (NZ),35
1982,IW Callen (AUS),0
1982,GS Chappell (AUS),338
1982,EJ Chatfield (NZ),2
1982,ST Clarke (WI),40
1982,JV Coney (NZ),102
1982,G Cook (ENG),90
1982,MD Crowe (NZ),10
1982,WM Darling (AUS),73
1982,ALF de Mel (SL),86
1982,DS de Silva (SL),31
1982,GRA de Silva (SL),7
1982,RL Dias (SL),479
1982,GR Dilley (ENG),1
1982,PJL Dujon (WI),134
1982,J Dyson (AUS),183
1982,BA Edgar (NZ),93
1982,JE Emburey (ENG),0
1982,KWR Fletcher (ENG),119
1982,J Garner (WI),6
1982,MW Gatting (ENG),142
1982,SM Gavaskar (INDIA),194
1982,HA Gomes (WI),100
1982,GA Gooch (ENG),141
1982,HM Goonatilleke (SL),31
